parsable_tree,readable_tree,accuracy,interpretability,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,latex_tree
"[*, -, x_12, max, x_5, *, *, x_4, x_3, log, x_0, -, x_12, 3.04]","((x_12-max(x_5,((x_4*x_3)*log(abs(x_0)))))*(x_12-3.04))",23.12795639038086,14.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,"\left(x_{12} - 3.04\right) \left(x_{12} - \max\left(x_{5}, x_{3} x_{4} \log{\left(\left|{x_{0}}\right| \right)}\right)\right)"
"[*, -, x_12, max, x_5, *, *, x_0, x_3, *, x_11, x_7, log, +, -4.38, x_12]","((x_12-max(x_5,((x_0*x_3)*(x_11*x_7))))*log(abs((-4.38+x_12))))",20.344640731811523,16.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,"\left(x_{12} - \max\left(x_{5}, x_{0} x_{11} x_{3} x_{7}\right)\right) \log{\left(\left|{x_{12} - 4.38}\right| \right)}"
"[-, x_12, max, x_5, *, *, x_4, x_3, log, x_0]","(x_12-max(x_5,((x_4*x_3)*log(abs(x_0)))))",23.168535232543945,10.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{12} - \max\left(x_{5}, x_{3} x_{4} \log{\left(\left|{x_{0}}\right| \right)}\right)"
[x_12],x_12,39.54974365234375,1.0,704,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12}
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,3.0,704,200,50,200,not_spcified,size,not_specified,not_specified,boston,- x_{12} + x_{5}
"[+, x_10, -, x_12, x_5]",(x_10+(x_12-x_5)),29.503374099731445,5.0,704,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{10} + x_{12} - x_{5}
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,3.0,704,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} - x_{5}
"[+, x_10, -, +, +, x_12, x_12, *, x_5, x_9, x_5]",(x_10+(((x_12+x_12)+(x_5*x_9))-x_5)),23.613142013549805,11.0,704,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{10} + x_{12} + x_{12} + x_{5} x_{9} - x_{5}
"[**3, -, x_5, -, x_12, 4.15]",((x_5-(x_12-4.15)))**3,29.20607185363769,6.0,704,200,50,200,not_spcified,size,not_specified,not_specified,boston,\left(x_{5} - \left(x_{12} - 4.15\right)\right)^{3}
"[-, +, x_12, *, x_5, x_10, x_5]",((x_12+(x_5*x_10))-x_5),27.988964080810547,7.0,704,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{10} x_{5} + x_{12} - x_{5}
