parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[-, x_1, **2, -, x_1, 2.6]",(x_1-((x_1-2.6))**2),0.0282871145755052,-68.5,202,not_specified,phi,vladislavleva,x_{1} - \left(x_{1} - 2.6\right)^{2}
"[/, 1.5, x_1]",(1.5/x_1),0.0327480696141719,-78.0,202,not_specified,phi,vladislavleva,\frac{1.5}{x_{1}}
"[/, 2.6, x_1]",(2.6/x_1),0.0327480696141719,-78.0,202,not_specified,phi,vladislavleva,\frac{2.6}{x_{1}}
"[+, cos, x_1, +, cos, x_4, cos, x_0]",(cos(x_1)+(cos(x_4)+cos(x_0))),0.0179189350455999,-60.29999923706055,202,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{4} \right)}
"[+, cos, u-, x_3, +, cos, x_1, +, cos, x_4, cos, x_0]",(cos(-(x_3))+(cos(x_1)+(cos(x_4)+cos(x_0)))),0.0118846902623772,-54.59999847412109,202,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(- x_{3} \right)} + \cos{\left(x_{4} \right)}
"[/, -4.73, x_1]",(-4.73/x_1),0.0327480696141719,-78.0,202,not_specified,phi,vladislavleva,- \frac{4.73}{x_{1}}
"[+, cos, x_4, +, +, cos, x_1, cos, u-, x_3, +, cos, x_2, cos, x_0]",(cos(x_4)+((cos(x_1)+cos(-(x_3)))+(cos(x_2)+cos(x_0)))),0.0065526342950761,-49.59999847412109,202,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)} + \cos{\left(- x_{3} \right)} + \cos{\left(x_{4} \right)}
"[u-, +, cos, x_1, +, cos, x_3, cos, x_0]",-((cos(x_1)+(cos(x_3)+cos(x_0)))),0.0175953265279531,-59.59999847412109,202,not_specified,phi,vladislavleva,- \cos{\left(x_{0} \right)} - \cos{\left(x_{1} \right)} - \cos{\left(x_{3} \right)}
"[+, cos, x_0, +, cos, x_1, +, cos, x_2, cos, x_3]",(cos(x_0)+(cos(x_1)+(cos(x_2)+cos(x_3)))),0.0123149985447525,-55.29999923706055,202,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)} + \cos{\left(x_{3} \right)}
"[+, cos, u-, x_0, +, cos, x_1, cos, x_3]",(cos(-(x_0))+(cos(x_1)+cos(x_3))),0.0175953265279531,-59.59999847412109,202,not_specified,phi,vladislavleva,\cos{\left(- x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{3} \right)}
[x_3],x_3,0.0339635610580444,-78.9000015258789,203,not_specified,phi,vladislavleva,x_{3}
"[cos, x_1]",cos(x_1),0.0284855440258979,-70.30000305175781,203,not_specified,phi,vladislavleva,\cos{\left(x_{1} \right)}
"[+, cos, x_0, cos, x_1]",(cos(x_0)+cos(x_1)),0.023097300902009,-65.30000305175781,203,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)}
"[/, 2.27, u-, x_1]",(2.27/-(x_1)),0.0327480696141719,-77.30000305175781,203,not_specified,phi,vladislavleva,\frac{2.27}{\left(-1\right) x_{1}}
"[+, cos, x_0, +, cos, x_1, +, cos, x_4, cos, x_3]",(cos(x_0)+(cos(x_1)+(cos(x_4)+cos(x_3)))),0.0118846902623772,-55.29999923706055,203,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)}
"[/, -, u-, x_0, +, x_4, x_3, u-, x_1]",((-(x_0)-(x_4+x_3))/-(x_1)),0.0327429175376892,-74.80000305175781,203,not_specified,phi,vladislavleva,\frac{- x_{0} - \left(x_{3} + x_{4}\right)}{\left(-1\right) x_{1}}
"[/, -, -3.37, +, x_4, /, x_2, 2.68, u-, x_1]",((-3.37-(x_4+(x_2/2.68)))/-(x_1)),0.0327291712164878,-74.5999984741211,203,not_specified,phi,vladislavleva,\frac{- (\frac{x_{2}}{2.68} + x_{4}) - 3.37}{\left(-1\right) x_{1}}
"[+, +, cos, x_0, cos, x_1, +, cos, x_4, cos, x_3]",((cos(x_0)+cos(x_1))+(cos(x_4)+cos(x_3))),0.0118846902623772,-55.29999923706055,203,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)}
"[/, 3.82, u-, x_1]",(3.82/-(x_1)),0.0327480696141719,-77.30000305175781,203,not_specified,phi,vladislavleva,\frac{3.82}{\left(-1\right) x_{1}}
"[/, -, u-, x_4, +, x_4, /, /, x_0, x_4, 2.68, u-, x_1]",((-(x_4)-(x_4+((x_0/x_4)/2.68)))/-(x_1)),0.0325920693576335,-73.0,203,not_specified,phi,vladislavleva,\frac{- x_{4} - \left(\frac{x_{0}}{2.68 x_{4}} + x_{4}\right)}{\left(-1\right) x_{1}}
"[/, -3.33, x_0]",(-3.33/x_0),0.0330561101436615,-78.0,203,not_specified,phi,vladislavleva,- \frac{3.33}{x_{0}}
"[/, 0.64, x_0]",(0.64/x_0),0.0330561101436615,-78.0,203,not_specified,phi,vladislavleva,\frac{0.64}{x_{0}}
