parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[max, +, max, log, x_9, -, x_10, x_6, +, log, x_6, max, x_11, x_12, +, -, max, x_5, 2.09, x_12, max, -, x_5, x_8, x_3]","max((max(log(abs(x_9)),(x_10-x_6))+(log(abs(x_6))+max(x_11,x_12))),((max(x_5,2.09)-x_12)+max((x_5-x_8),x_3)))",14.099802017211914,25.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(\operatorname{max}\left(\ln\left(|x_9|\right), x_{10}-x_6\right)+\ln\left(|x_6|\right)+\operatorname{max}\left(x_{11}, x_{12}\right), \operatorname{max}\left(x_5, 2.09\right)-x_{12}+\operatorname{max}\left(x_5-x_8, x_3\right)\right)",boston
"[max, +, x_10, -2.21, -, max, -, x_5, x_12, x_3, x_12]","max((x_10+-2.21),(max((x_5-x_12),x_3)-x_12))",14.314476013183594,11.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_{10}-2.21, \operatorname{max}\left(x_5-x_{12}, x_3\right)-x_{12}\right)",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, max, x_3, x_5, x_12]","(max(x_3,x_5)-x_12)",15.75085163116455,5.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_3, x_5\right)-x_{12}",boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,3.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12}-x_5,boston
"[+, *, +, x_12, -4.71, -, max, x_5, x_3, +, x_12, -1.45, x_10]","(((x_12+-4.71)*(max(x_5,x_3)-(x_12+-1.45)))+x_10)",13.39178466796875,13.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\left(x_{12}-4.71\right) \left(\operatorname{max}\left(x_5, x_3\right)-x_{12}-1.45\right)+x_{10}",boston
"[+, *, +, x_12, -4.71, -, max, x_5, x_3, x_12, x_9]","(((x_12+-4.71)*(max(x_5,x_3)-x_12))+x_9)",13.624902725219728,11.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\left(x_{12}-4.71\right) \left(\operatorname{max}\left(x_5, x_3\right)-x_{12}\right)+x_9",boston
"[*, +, x_12, -4.71, -, max, x_5, x_3, x_12]","((x_12+-4.71)*(max(x_5,x_3)-x_12))",14.30184841156006,9.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\left(x_{12}-4.71\right) \left(\operatorname{max}\left(x_5, x_3\right)-x_{12}\right)",boston
"[-, max, max, log, x_12, x_3, x_5, x_12]","(max(max(log(abs(x_12)),x_3),x_5)-x_12)",14.602855682373049,8.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(\operatorname{max}\left(\ln\left(|x_{12}|\right), x_3\right), x_5\right)-x_{12}",boston
"[+, *, +, x_12, -4.71, -, max, x_5, x_3, x_12, +, *, +, x_0, x_12, *, x_6, x_9, -1.45]","(((x_12+-4.71)*(max(x_5,x_3)-x_12))+(((x_0+x_12)*(x_6*x_9))+-1.45))",13.029430389404297,19.0,1234.0,709,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\left(x_{12}-4.71\right) \left(\operatorname{max}\left(x_5, x_3\right)-x_{12}\right)+\left(x_0+x_{12}\right) x_6 x_9-1.45",boston
