parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[-, +, -, x_5, x_12, x_3, x_10]",(((x_5-x_12)+x_3)-x_10),22.00947952270508,-76.19999694824219,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{10} - x_{12} + x_{3} + x_{5},boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_10, +, -, x_3, x_12, x_5]",(x_10-((x_3-x_12)+x_5)),22.00947952270508,-76.19999694824219,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} - \left(- x_{12} + x_{3} + x_{5}\right),boston
"[+, x_10, -, x_12, x_5]",(x_10+(x_12-x_5)),23.24850845336914,-77.0999984741211,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} - x_{5},boston
"[-, x_12, -, +, -, x_5, x_12, x_3, x_10]",(x_12-(((x_5-x_12)+x_3)-x_10)),20.542016983032227,-75.30000305175781,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} - \left(- x_{10} - x_{12} + x_{3} + x_{5}\right),boston
"[-, x_12, max, x_5, x_6]","(x_12-max(x_5,x_6))",19.511449813842773,-69.19999694824219,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} - \max\left(x_{5}, x_{6}\right)",boston
"[-, max, x_6, x_5, x_12]","(max(x_6,x_5)-x_12)",19.511449813842773,-69.19999694824219,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{12} + \max\left(x_{5}, x_{6}\right)",boston
"[+, -, -0.6, x_12, max, x_5, x_3]","((-0.6-x_12)+max(x_5,x_3))",15.75085163116455,-68.30000305175781,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{12} + \max\left(x_{3}, x_{5}\right) - 0.6",boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5},boston
"[+, -, x_3, x_12, max, -, x_12, x_12, x_5]","((x_3-x_12)+max((x_12-x_12),x_5))",15.485821723937988,-67.4000015258789,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{12} + x_{3} + \max\left(x_{5}, - x_{12} + x_{12}\right)",boston
"[+, -, x_3, x_12, max, -, x_12, x_12, -, x_5, x_12]","((x_3-x_12)+max((x_12-x_12),(x_5-x_12)))",14.191986083984377,-66.5,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{12} + x_{3} + \max\left(- x_{12} + x_{12}, - x_{12} + x_{5}\right)",boston
"[-, max, *, x_6, /, x_3, x_6, -, x_5, x_12, max, -, x_9, x_0, x_12]","(max((x_6*(x_3/x_6)),(x_5-x_12))-max((x_9-x_0),x_12))",13.413780212402344,-61.29999923706055,1234.0,703,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- \max\left(x_{12}, - x_{0} + x_{9}\right) + \max\left(\frac{x_{3} x_{6}}{x_{6}}, - x_{12} + x_{5}\right)",boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
"[-, -, x_12, x_3, x_5]",((x_12-x_3)-x_5),23.74897766113281,-77.0999984741211,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} - x_{3} - x_{5},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,-78.0,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} - x_{5},boston
"[-, x_12, max, x_5, x_3]","(x_12-max(x_5,x_3))",15.75085163116455,-69.19999694824219,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} - \max\left(x_{3}, x_{5}\right)",boston
"[-, -, x_12, max, x_5, x_3, *, x_9, x_3]","((x_12-max(x_5,x_3))-(x_9*x_3))",15.4241361618042,-67.4000015258789,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} - x_{3} x_{9} - \max\left(x_{3}, x_{5}\right)",boston
